"slug","title","link","posts","checked_at"
"a_word_on_internet_privacy_zhisme_signal_over_noise","A word on internet privacy","https://zhisme.com/articles/word-on-internet-privacy/","0","2026-07-26T09:50:09Z"
"copy_with_contextnvim_plugin_released_zhisme_signal_over_noise","copy_with_context.nvim plugin released","https://zhisme.com/articles/copy-with-context-nvim/","0","2026-07-26T09:50:09Z"
"copy_with_contextnvim_v3_released_zhisme_signal_over_noise","copy_with_context.nvim v3 Released","https://zhisme.com/articles/copy-with-context-v3-released/","0","2026-07-26T09:50:09Z"
"disable_co_authored_by_claude_in_git_commits_zhisme_signal_over_noise","Disable Co-Authored-By Claude in Git Commits","https://zhisme.com/articles/disable-co-authored-by-claude-in-git-commits/","0","2026-07-26T09:50:09Z"
"give_your_llm_brevity_zhisme_signal_over_noise","Give Your LLM Brevity","https://zhisme.com/articles/give-your-llm-brevity/","0","2026-07-26T09:50:09Z"
"how_to_set_up_browser_mcp_in_claude_code_zhisme_signal_over_noise","How to Set Up Browser MCP in Claude Code","https://zhisme.com/articles/setup-browser-mcp-claude/","0","2026-07-26T09:50:09Z"
"lazy_names_gem_how_much_time_do_you_spend_in_console","lazy_names gem, how much time do you spend in console?","https://zhisme.com/articles/lazy-names/","0","2026-07-26T09:50:09Z"
"llm_strikes_back_but_not_the_way_we_wanted_zhisme_signal_over_noise","LLM Strikes Back But Not The Way We Wanted","https://zhisme.com/articles/llm-strikes-back-not-the-way-we-wanted/","0","2026-07-26T09:50:09Z"
"multiple_git_configs_per_directory_zhisme_signal_over_noise","Multiple Git Configs Per Directory","https://zhisme.com/articles/multiple-git-configs-per-directory/","0","2026-07-26T09:50:09Z"
"not_best_time_for_an_open_source_contributions_zhisme_signal_over_noise","Not Best Time For An Open Source Contributions","https://zhisme.com/articles/not-best-time-for-open-source-contributions/","0","2026-07-26T09:50:09Z"
"openclaw_chameleon_hype_zhisme_signal_over_noise","OpenClaw Chameleon Hype","https://zhisme.com/articles/openclaw-chameleon/","0","2026-07-26T09:50:09Z"
"practical_useful_commands_for_claude_zhisme_signal_over_noise","Practical Useful Commands for Claude","https://zhisme.com/articles/practical-useful-commands-for-claude/","0","2026-07-26T09:50:09Z"
"reviewing_angry_tests_zhisme_signal_over_noise","Reviewing ""Angry Tests""","https://zhisme.com/articles/reviewing-angry-tests/","0","2026-07-26T09:50:09Z"
"ruby_io_buffering_zhisme_signal_over_noise","Ruby IO buffering","https://zhisme.com/articles/ruby-io-buffering/","0","2026-07-26T09:50:09Z"
"second_post_zhisme_signal_over_noise","Second post","https://zhisme.com/articles/second-post/","1","2026-07-26T09:50:09Z"
"self_introduction_zhisme_signal_over_noise","Self-introduction","https://zhisme.com/articles/self-introduction/","0","2026-07-26T09:50:09Z"
"the_constant_frozen_at_boot_a_ruby_interview_question_from_a_real_project","The Constant Frozen at Boot: A Ruby Interview Question From a Real Project","https://zhisme.com/articles/ruby-constant-frozen-at-boot/","0","2026-07-26T09:50:09Z"
"theory_vs_practice_why_technical_interviews_go_wrong","Theory vs Practice: Why Technical Interviews Go Wrong","https://zhisme.com/articles/theory-vs-practice-why-technical-interviews-go-wrong/","0","2026-07-26T09:50:09Z"
"you_dont_need_types_in_ruby_zhisme_signal_over_noise","You Don’t Need Types in Ruby","https://zhisme.com/articles/you-dont-need-types-in-ruby/","3","2026-07-26T09:50:09Z"
